"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13000","_05_UpdateEnggPart","","Mon Aug 03 06:35:09 UTC 2026","passed","Mon Aug 03 06:35:22 UTC 2026","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","40000","_10_InsertOperationAfterCurrent","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:23 UTC 2026","","Syteline","Syteline",""
"","14000","_23_UpdateRoutingHeader","","Mon Aug 03 06:56:38 UTC 2026","passed","Mon Aug 03 06:56:52 UTC 2026","","IFS_Apps10_InvPart","IFS_Apps10_InvPart",""
"","21000","_14_InsertOperationIntoMaterial","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:04 UTC 2026","","Syteline","Syteline",""
"","24000","_13_DeleteR01_R02","","Mon Aug 03 06:35:09 UTC 2026","passed","Mon Aug 03 06:35:33 UTC 2026","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","45000","_07_InsertMaterial","","Mon Aug 03 10:01:30 UTC 2026","passed","Mon Aug 03 10:02:15 UTC 2026","","Syspro Test Plan","Syspro Test Plan",""
"","22000","_08_DeleteBOMItem","","Mon Aug 03 09:30:48 UTC 2026","passed","Mon Aug 03 09:31:10 UTC 2026","","Arena Test Plan","Arena Test Plan",""
"","28000","_11_UpdateStockMaterial","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:31 UTC 2026","","Acumatica","Acumatica",""
"","48000","_03_CreateStockItem","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:51 UTC 2026","","Acumatica","Acumatica",""
"","34000","_19_DeleteLastBom","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:37 UTC 2026","","Acumatica","Acumatica",""
"","25000","_11_DeleteTheOperation","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:08 UTC 2026","","Syteline","Syteline",""
"","20000","_05_UpdateWTPart","","Mon Aug 03 07:18:04 UTC 2026","passed","Mon Aug 03 07:18:24 UTC 2026","","WindchillTestPlan","WindchillTestPlan",""
"","67000","_16_CreateInvPart","","Mon Aug 03 06:56:38 UTC 2026","passed","Mon Aug 03 06:57:45 UTC 2026","","IFS_Apps10_InvPart","IFS_Apps10_InvPart",""
"","14000","_25_DeleteRoutingHeader","","Mon Aug 03 06:56:38 UTC 2026","passed","Mon Aug 03 06:56:52 UTC 2026","","IFS_Apps10_InvPart","IFS_Apps10_InvPart",""
"","14000","_19_UpdateProdStruHeader","","Mon Aug 03 06:56:38 UTC 2026","passed","Mon Aug 03 06:56:52 UTC 2026","","IFS_Apps10_InvPart","IFS_Apps10_InvPart",""
"","18000","_16_InsertMaterialAfterCurrentIntoTheMaterial","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:01 UTC 2026","","Syteline","Syteline",""
"","54000","_03_Login","","Mon Aug 03 09:30:48 UTC 2026","passed","Mon Aug 03 09:31:42 UTC 2026","","Arena Test Plan","Arena Test Plan",""
"","18000","_11_UpdateVendorPart","","Mon Aug 03 07:18:04 UTC 2026","passed","Mon Aug 03 07:18:22 UTC 2026","","WindchillTestPlan","WindchillTestPlan",""
"","61000","_10_DeleteMaterial","","Mon Aug 03 10:01:30 UTC 2026","passed","Mon Aug 03 10:02:31 UTC 2026","","Syspro Test Plan","Syspro Test Plan",""
"","29000","_04_CreatePartStructure","","Mon Aug 03 07:18:04 UTC 2026","passed","Mon Aug 03 07:18:33 UTC 2026","","WindchillTestPlan","WindchillTestPlan",""
"","15000","_12_DeleteAXLParts","","Mon Aug 03 07:18:04 UTC 2026","passed","Mon Aug 03 07:18:19 UTC 2026","","WindchillTestPlan","WindchillTestPlan",""
"","32000","_10_AddStockMaterial","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:35 UTC 2026","","Acumatica","Acumatica",""
"","15000","_07_AddManufacturerPart","","Mon Aug 03 07:18:04 UTC 2026","passed","Mon Aug 03 07:18:19 UTC 2026","","WindchillTestPlan","WindchillTestPlan",""
"","33000","_15_ImportSetting","","Mon Aug 03 09:30:48 UTC 2026","passed","Mon Aug 03 09:31:21 UTC 2026","","Arena Test Plan","Arena Test Plan",""
"","20000","_05_AddBomHeader","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:23 UTC 2026","","Acumatica","Acumatica",""
"","34000","_14_AddNonStockMaterialUnderStockItem","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:37 UTC 2026","","Acumatica","Acumatica",""
"","4000","_03_ExpressionSettingsDisplay","","Mon Aug 03 09:46:39 UTC 2026","passed","Mon Aug 03 09:46:43 UTC 2026","","General CADTalk Test Plan","General CADTalk Test Plan",""
"","31000","_01_Login","","Mon Aug 03 06:56:38 UTC 2026","passed","Mon Aug 03 06:57:09 UTC 2026","","IFS_Apps10_InvPart","IFS_Apps10_InvPart",""
"","38000","_01_SettingUpCADTalk","","Mon Aug 03 10:01:30 UTC 2026","passed","Mon Aug 03 10:02:08 UTC 2026","","Syspro Test Plan","Syspro Test Plan",""
"","17000","_15_ExportSettings","","Mon Aug 03 07:18:04 UTC 2026","passed","Mon Aug 03 07:18:21 UTC 2026","","WindchillTestPlan","WindchillTestPlan",""
"","29000","_24_AddRoutingOperation","","Mon Aug 03 06:56:38 UTC 2026","passed","Mon Aug 03 06:57:07 UTC 2026","","IFS_Apps10_InvPart","IFS_Apps10_InvPart",""
"","38000","_20_ImportSettings","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:21 UTC 2026","","Syteline","Syteline",""
"","14000","_14_ExportSetting","","Mon Aug 03 09:30:48 UTC 2026","passed","Mon Aug 03 09:31:02 UTC 2026","","Arena Test Plan","Arena Test Plan",""
"","22000","_04_UpdateStockItem","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:25 UTC 2026","","Acumatica","Acumatica",""
"","18000","_17_InsertMaterialFromSearchIntoMaterial","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:01 UTC 2026","","Syteline","Syteline",""
"","72000","_18_DragAndDropForMaterials","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:55 UTC 2026","","Syteline","Syteline",""
"","14000","_07_DeleteBomHeader","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:17 UTC 2026","","Acumatica","Acumatica",""
"","25000","_03_CreateNewItem","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:08 UTC 2026","","Syteline","Syteline",""
"","3000","_08_CustomerFeedbackOptions","","Mon Aug 03 09:46:39 UTC 2026","passed","Mon Aug 03 09:46:42 UTC 2026","","General CADTalk Test Plan","General CADTalk Test Plan",""
"","21000","_06_UpdateTheExistingOperation","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:04 UTC 2026","","Syteline","Syteline",""
"","51000","_30_IFS_Solidworks_Transformation","","Mon Aug 03 06:56:38 UTC 2026","passed","Mon Aug 03 06:57:29 UTC 2026","","IFS_Apps10_InvPart","IFS_Apps10_InvPart",""
"","47000","_11_DeleteOperation","","Mon Aug 03 10:01:30 UTC 2026","passed","Mon Aug 03 10:02:17 UTC 2026","","Syspro Test Plan","Syspro Test Plan",""
"","41000","_06_UpdateOperation","","Mon Aug 03 10:01:30 UTC 2026","passed","Mon Aug 03 10:02:11 UTC 2026","","Syspro Test Plan","Syspro Test Plan",""
"","12000","_11_DeleteTheFile","","Mon Aug 03 09:30:48 UTC 2026","passed","Mon Aug 03 09:31:00 UTC 2026","","Arena Test Plan","Arena Test Plan",""
"","23000","_05_SettingsDisplay","","Mon Aug 03 09:46:39 UTC 2026","passed","Mon Aug 03 09:47:02 UTC 2026","","General CADTalk Test Plan","General CADTalk Test Plan",""
"","302000","_02_Login","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:47:05 UTC 2026","","Acumatica","Acumatica",""
"","38000","_01_SettingUpCADTalk","","Mon Aug 03 09:30:48 UTC 2026","passed","Mon Aug 03 09:31:26 UTC 2026","","Arena Test Plan","Arena Test Plan",""
"","17000","_15_UpdateMaterialFromSearchIntoTheMaterial","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:00 UTC 2026","","Syteline","Syteline",""
"","16000","_06_UpdatePartStructure","","Mon Aug 03 07:18:04 UTC 2026","passed","Mon Aug 03 07:18:20 UTC 2026","","WindchillTestPlan","WindchillTestPlan",""
"","23000","_07_InsertMaterialIntoTheOperation","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:06 UTC 2026","","Syteline","Syteline",""
"","159000","_01_ImportSettings","","Mon Aug 03 07:18:04 UTC 2026","passed","Mon Aug 03 07:20:43 UTC 2026","","WindchillTestPlan","WindchillTestPlan",""
"","15000","_16_CreateNonStockItem","","Mon Aug 03 08:42:03 UTC 2026","passed","Mon Aug 03 08:42:18 UTC 2026","","Acumatica","Acumatica",""
"","35000","_13_SysproAddinManagerLoadingUnloading","","Mon Aug 03 09:46:39 UTC 2026","passed","Mon Aug 03 09:47:14 UTC 2026","","General CADTalk Test Plan","General CADTalk Test Plan",""
"","29000","_21_DeleteProdStrucHeader","","Mon Aug 03 06:56:38 UTC 2026","passed","Mon Aug 03 06:57:07 UTC 2026","","IFS_Apps10_InvPart","IFS_Apps10_InvPart",""
"","18000","_02_Login","","Mon Aug 03 10:39:43 UTC 2026","passed","Mon Aug 03 10:40:01 UTC 2026","","Syteline","Syteline",""
